"combining_method","coupling_method","combination_size","metric","p.val","better_method"
"cal_average","bc","3","nll",0,"BSL"
"cal_average","bc","3","ece",0,"BSL"
"grad_m1","m1","2","accuracy1",0,"WLE"
"grad_m1","m1","2","nll",0,"WLE"
"grad_m1","m1","2","ece",0,"WLE"
"grad_m1","m1","4","accuracy1",0.0014,"WLE"
"grad_m1","m1","4","nll",0.0027,"WLE"
"grad_m1","m1","4","ece",0.0013,"WLE"
"grad_m1","m1","3","accuracy1",0,"WLE"
"grad_m1","m1","3","nll",0,"WLE"
"grad_m1","m1","3","ece",0,"WLE"
"grad_m1","m2","2","accuracy1",0,"WLE"
"grad_m1","m2","2","nll",0,"WLE"
"grad_m1","m2","2","ece",1e-04,"WLE"
"grad_m1","m2","4","accuracy1",0.0022,"WLE"
"grad_m1","m2","4","nll",0.0018,"WLE"
"grad_m1","m2","4","ece",0.002,"WLE"
"grad_m1","m2","3","accuracy1",0,"WLE"
"grad_m1","m2","3","nll",0,"WLE"
"grad_m1","m2","3","ece",0,"WLE"
"grad_m1","bc","2","accuracy1",0,"WLE"
"grad_m1","bc","2","nll",0,"WLE"
"grad_m1","bc","2","ece",0.0456,"WLE"
"grad_m1","bc","4","accuracy1",0.0018,"WLE"
"grad_m1","bc","4","nll",0.0022,"WLE"
"grad_m1","bc","4","ece",0.002,"WLE"
"grad_m1","bc","3","accuracy1",0,"WLE"
"grad_m1","bc","3","nll",0,"WLE"
"grad_m1","bc","3","ece",0,"WLE"
"grad_m2","m1","2","accuracy1",0,"WLE"
"grad_m2","m1","2","nll",0,"WLE"
"grad_m2","m1","2","ece",0,"WLE"
"grad_m2","m1","4","accuracy1",0.0025,"WLE"
"grad_m2","m1","4","nll",0.0012,"WLE"
"grad_m2","m1","4","ece",0.0011,"WLE"
"grad_m2","m1","3","accuracy1",0,"WLE"
"grad_m2","m1","3","nll",0,"WLE"
"grad_m2","m1","3","ece",0,"WLE"
"grad_m2","m2","2","accuracy1",0,"WLE"
"grad_m2","m2","2","nll",0,"WLE"
"grad_m2","m2","2","ece",0,"WLE"
"grad_m2","m2","4","accuracy1",0.0012,"WLE"
"grad_m2","m2","4","nll",0.0021,"WLE"
"grad_m2","m2","4","ece",0.002,"WLE"
"grad_m2","m2","3","accuracy1",0,"WLE"
"grad_m2","m2","3","nll",0,"WLE"
"grad_m2","m2","3","ece",0,"WLE"
"grad_m2","bc","2","accuracy1",0,"WLE"
"grad_m2","bc","2","nll",0,"WLE"
"grad_m2","bc","2","ece",0.0241,"WLE"
"grad_m2","bc","4","accuracy1",0.0025,"WLE"
"grad_m2","bc","4","nll",0.0011,"WLE"
"grad_m2","bc","4","ece",0.0026,"WLE"
"grad_m2","bc","3","accuracy1",0,"WLE"
"grad_m2","bc","3","nll",0,"WLE"
"grad_m2","bc","3","ece",0,"WLE"
"grad_bc","m1","2","accuracy1",0,"WLE"
"grad_bc","m1","2","nll",0,"WLE"
"grad_bc","m1","2","ece",0.0165,"WLE"
"grad_bc","m1","4","accuracy1",0.0058,"WLE"
"grad_bc","m1","4","nll",0.0023,"WLE"
"grad_bc","m1","4","ece",0.0024,"WLE"
"grad_bc","m1","3","accuracy1",0,"WLE"
"grad_bc","m1","3","nll",0,"WLE"
"grad_bc","m1","3","ece",0,"WLE"
"grad_bc","m2","2","accuracy1",0,"WLE"
"grad_bc","m2","2","nll",0,"WLE"
"grad_bc","m2","2","ece",0.0144,"WLE"
"grad_bc","m2","4","accuracy1",0.0031,"WLE"
"grad_bc","m2","4","nll",0.0023,"WLE"
"grad_bc","m2","4","ece",0.0023,"WLE"
"grad_bc","m2","3","accuracy1",0,"WLE"
"grad_bc","m2","3","nll",0,"WLE"
"grad_bc","m2","3","ece",0,"WLE"
"grad_bc","bc","2","accuracy1",0,"WLE"
"grad_bc","bc","2","nll",0,"WLE"
"grad_bc","bc","2","ece",0.0226,"WLE"
"grad_bc","bc","4","accuracy1",0.0021,"WLE"
"grad_bc","bc","4","nll",0.0022,"WLE"
"grad_bc","bc","4","ece",0.0021,"WLE"
"grad_bc","bc","3","accuracy1",0,"WLE"
"grad_bc","bc","3","nll",0,"WLE"
"grad_bc","bc","3","ece",0,"WLE"
